Disease,description,medication,diet,Precaution_1,Precaution_2,Precaution_3,Precaution_4,Grouped_Workout_Advice
Fungal infection,Fungal infection is a common skin condition caused by fungi.,"['Antifungal Cream', 'Fluconazole', 'Terbinafine', 'Clotrimazole', 'Ketoconazole']","['Antifungal Diet', 'Probiotics', 'Garlic', 'Coconut oil', 'Turmeric']",bath twice,use detol or neem in bathing water,keep infected area dry,use clean cloths,"Avoid sugary foods, Consume probiotics, Increase intake of garlic, Include yogurt in diet, Limit processed foods, Stay hydrated, Consume green tea, Eat foods rich in zinc, Include turmeric in diet, Eat fruits and vegetables"
Allergy,Allergy is an immune system reaction to a substance in the environment.,"['Antihistamines', 'Decongestants', 'Epinephrine', 'Corticosteroids', 'Immunotherapy']","['Elimination Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']",apply calamine,cover area with bandage,NA,use ice to compress itching,"Avoid allergenic foods, Consume anti-inflammatory foods, Include omega-3 fatty acids, Stay hydrated, Eat foods rich in vitamin C, Include quercetin-rich foods, Consume local honey, Limit processed foods, Include ginger in diet, Avoid artificial additives"
GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.,"['Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Prokinetics', 'Antibiotics']","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']",avoid fatty spicy food,avoid lying down after eating,maintain healthy weight,exercise,"Consume smaller meals, Avoid trigger foods (spicy, fatty), Eat high-fiber foods, Limit caffeine and alcohol, Chew food thoroughly, Avoid late-night eating, Consume non-citrus fruits, Include lean proteins, Stay hydrated, Avoid carbonated beverages"
Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.,"['Ursodeoxycholic acid', 'Cholestyramine', 'Methotrexate', 'Corticosteroids', 'Liver transplant']","['Low-Fat Diet', 'High-Fiber Diet', 'Lean proteins', 'Whole grains', 'Fresh fruits and vegetables']",cold baths,anti itch medicine,consult doctor,eat healthy,"Consume a low-fat diet, Eat high-fiber foods, Include healthy fats, Limit alcohol consumption, Stay hydrated, Consume antioxidant-rich foods, Include omega-3 fatty acids, Include lean proteins, Limit processed foods, Avoid fried foods"
Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.,"['Antihistamines', 'Epinephrine', 'Corticosteroids', 'Antibiotics', 'Antifungal Cream']","['Antihistamine Diet', 'Omega-3-rich foods', 'Vitamin C-rich foods', 'Quercetin-rich foods', 'Probiotics']",stop irritation,consult nearest hospital,stop taking drug,follow up,"Discontinue offending medication, Stay hydrated, Include anti-inflammatory foods, Consume antioxidants, Avoid trigger foods, Include omega-3 fatty acids, Limit caffeine and alcohol, Stay hydrated, Eat a balanced diet, Consult a healthcare professional"
Peptic ulcer disease,Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine.,"['Antibiotics', 'Proton Pump Inhibitors (PPIs)', 'H2 Blockers', 'Antacids', 'Cytoprotective agents']","['Low-Acid Diet', 'Fiber-rich foods', 'Ginger', 'Licorice', 'Aloe vera juice']",NA,NA,NA,NA,"Consume smaller, more frequent meals, Avoid trigger foods (spicy, acidic), Include high-fiber foods, Limit caffeine and alcohol, Stay hydrated, Consume probiotics, Include lean proteins, Include antioxidant-rich foods, Limit processed foods, Avoid smoking and alcohol"
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,"['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']","['Balanced Diet', 'Protein-rich foods', 'Fruits and vegetables', 'Whole grains', 'Healthy fats']",avoid open cuts,wear ppe if possible,consult doctor,follow up,"Follow a balanced and nutritious diet, Include lean proteins, Consume nutrient-rich foods, Stay hydrated, Include healthy fats, Avoid raw or undercooked foods, Limit sugary foods and beverages, Consume immune-boosting foods, Take prescribed supplements, Consult a healthcare professional"
Diabetes,Diabetes is a chronic condition that affects how the body processes blood sugar.,"['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']","['Low-Glycemic Diet', 'Fiber-rich foods', 'Lean proteins', 'Healthy fats', 'Low-fat dairy']",NA,NA,NA,NA,"Monitor carbohydrate intake, Eat balanced meals, Include lean proteins, Consume high-fiber foods, Stay hydrated, Limit sugary foods and beverages, Include healthy fats, Monitor blood sugar levels, Consult a registered dietitian, Take prescribed medications as directed"
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.","['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']","['Bland Diet', 'Bananas', 'Rice', 'Applesauce', 'Toast']",stop eating solid food for while,try taking small sips of water,rest,ease back into eating,"Stay hydrated, Consume clear fluids, Follow the BRAT diet (bananas, rice, applesauce, toast), Include bland foods, Avoid fatty and greasy foods, Limit caffeine and alcohol, Avoid spicy foods, Consult a healthcare professional, Gradually reintroduce solid foods, Avoid dairy products"
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.,"['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']","['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']",switch to loose cloothing,take deep breaths,get away from trigger,seek help,"Include anti-inflammatory foods, Consume omega-3 fatty acids, Limit sodium intake, Stay hydrated, Include antioxidant-rich foods, Avoid sulfite-containing foods, Limit processed foods, Consume magnesium-rich foods, Consult a healthcare professional, Avoid trigger foods"
